0,380,275,124,2034,1566,1447,2211,2824,2689,2744,2980,2506,2732,2532,688,541,1037
380,0,568,504,2148,1945,1747,2508,2946,2840,2897,3109,2889,3136,2664,734,675,968
275,568,0,336,1761,1479,1226,1987,2559,2465,2510,2714,2566,2799,2263,419,124,768
124,504,336,0,2095,1481,1362,2154,2838,2688,2758,3048,2426,2654,2600,751,465,1099
2034,2148,1761,2095,0,1085,928,716,821,715,772,983,1242,1413,532,1397,1871,1415
1566,1945,1479,1481,1085,0,246,802,1653,1414,1558,1846,956,1187,1574,1640,1530,1572
1447,1747,1226,1362,928,246,0,792,1565,1326,1470,1834,1141,1362,1401,1325,1190,1430
2211,2508,1987,2154,716,802,792,0,870,632,772,1101,438,611,896,1921,2070,2011
2824,2946,2559,2838,821,1653,1565,870,0,237,109,214,1084,1294,396,2181,2644,2234
2689,2840,2465,2688,715,1414,1326,632,237,0,139,3127,3179,3486,461,2085,1411,827
2744,2897,2510,2758,772,1558,1470,772,109,139,0,310,996,1205,428,2170,2621,2180
2980,3109,2714,3048,983,1846,1834,1101,214,3127,310,0,1298,1508,453,2393,2839,2443
2506,2889,2566,2426,1242,956,1141,438,1084,3179,996,1298,0,236,1222,2360,2506,2381
2732,3136,2799,2654,1413,1187,1362,611,1294,3486,1205,1508,236,0,1426,2617,2775,2670
2532,2664,2263,2600,532,1574,1401,896,396,461,428,454,1179,1426,0,1931,2388,1961
688,734,419,751,1397,1640,1325,1921,2181,2085,2170,2393,2360,2617,1931,0,544,351
541,675,124,465,1871,1530,1190,2070,2644,1411,2621,2839,2506,2775,2388,544,0,893
1037,968,768,1099,1415,1572,1430,2011,2234,827,2180,2443,2381,2670,1961,351,893,0
